date,ticker,percent_gain
2008-02-27,JNPR,7.64
2008-03-10,PBG,2.88
2008-03-14,GME,1.55
2008-03-17,MTG,11.64
2008-03-18,FNMA,19.58
2008-03-31,CPWR,10.0
2008-04-01,FNMA,12.5
2008-04-02,DDS,19.57
2008-04-04,ATI,15.26
2008-04-07,WBD,4.69
2008-04-08,CNX,6.41
2008-04-18,SLB,9.22
2008-04-24,TROW,11.12
2008-04-25,FNMA,8.64
2008-04-28,THC,7.72
2008-05-08,WBD,8.24
2008-05-14,PHM,6.66
2008-05-15,NVDA,7.99
2008-05-16,VMC,5.56
2008-05-29,BRL,13.51
2008-06-02,ANDV,9.28
2008-06-03,SHW,5.41
2008-06-04,SPGI,6.66
2008-06-05,BRL,13.51
2008-06-06,BAX,1.69
2008-06-09,APA,4.82
2008-06-10,KG,10.23
2008-06-11,SGP,11.35
2008-06-12,MBI,6.63
2008-06-18,MS,7.42
2008-06-23,BRL,38.89
2008-06-24,KBH,7.56
2008-06-25,ASH,6.19
2008-06-26,EP,46.34
2008-06-30,MBI,7.07
2008-07-01,MAS,10.28
2008-07-02,DTE,3.67
2008-07-09,PNW,3.51
2008-07-15,MBI,13.95
2008-07-16,FHN,27.99
2008-07-17,EP,50.0
2008-07-18,BMS,9.4
2008-07-21,TIE,10.08
2008-07-29,MTG,18.29
2008-07-31,MBI,9.81
2008-08-01,MBI,17.64
2008-08-04,MTG,7.92
2008-08-05,BRL,20.0
2008-08-06,ANDV,11.05
2008-08-18,MBI,5.63
2008-08-21,FNMA,21.55
2008-08-22,HBAN,5.63
2008-08-25,FMCC,25.57
2008-08-26,FMCC,14.41
2008-08-27,KBH,10.51
2008-08-28,MBI,12.78
2008-09-08,ZION,7.82
2008-09-11,AIG,11.78
2008-09-12,ZION,11.91
2008-09-15,MMC,6.66
2008-09-16,AIG,102.7
2008-09-17,CPWR,25.0
2008-09-18,MTG,59.93
2008-09-22,BRL,12.5
2008-09-23,VMC,5.32
2008-09-24,LEN,13.62
2008-09-25,TSN,13.32
2008-09-26,JPM,18.96
2008-09-30,GNW,37.76
2008-10-01,MTG,23.79
